marka,model,yil,yakit_turu,arac_tipi,karbon_emisyon
Audi,A3,2010,Dizel,Coupe,104
Audi,A3,2010,LPG,Sedan,115
Audi,A3,2010,LPG,Hatchback,133
Audi,A3,2010,LPG,SUV,122
Audi,A3,2010,LPG,Ticari,129
Audi,A3,2010,LPG,Coupe,130
Audi,A3,2010,Hibrit,Sedan,81
Audi,A3,2010,Hibrit,Hatchback,78
Audi,A3,2010,Hibrit,SUV,72
Audi,A3,2010,Hibrit,Ticari,69
Audi,A3,2010,Hibrit,Coupe,67
Audi,A3,2010,Elektrik,Sedan,0
Audi,A3,2010,Elektrik,Hatchback,0
Audi,A3,2010,Elektrik,SUV,0
Audi,A3,2010,Elektrik,Ticari,0
Audi,A3,2010,Elektrik,Coupe,0
Audi,A3,2011,Benzin,Sedan,130
Audi,A3,2011,Benzin,Hatchback,131
Audi,A3,2011,Benzin,SUV,140
Audi,A3,2011,Benzin,Ticari,145
Audi,A3,2011,Benzin,Coupe,146
Audi,A3,2011,Dizel,Sedan,121
Audi,A3,2011,Dizel,Hatchback,108
Audi,A3,2011,Dizel,SUV,109
Audi,A3,2011,Dizel,Ticari,119
Audi,A3,2011,Dizel,Coupe,117
Audi,A3,2011,LPG,Sedan,116
Audi,A3,2011,LPG,Hatchback,126
Audi,A3,2011,LPG,SUV,132
Audi,A3,2011,LPG,Ticari,128
Audi,A3,2011,LPG,Coupe,124
Audi,A3,2011,Hibrit,Sedan,73
Audi,A3,2011,Hibrit,Hatchback,84
Audi,A3,2011,Hibrit,SUV,77
Audi,A3,2011,Hibrit,Ticari,83
Audi,A3,2011,Hibrit,Coupe,76
Audi,A3,2011,Elektrik,Sedan,0
Audi,A3,2011,Elektrik,Hatchback,0
Audi,A3,2011,Elektrik,SUV,0
Audi,A3,2011,Elektrik,Ticari,0
Audi,A3,2011,Elektrik,Coupe,0
Audi,A3,2012,Benzin,Sedan,135
Audi,A3,2012,Benzin,Hatchback,134
Audi,A3,2012,Benzin,SUV,140
Audi,A3,2012,Benzin,Ticari,138
Audi,A3,2012,Benzin,Coupe,145
Audi,A3,2012,Dizel,Sedan,117
Audi,A3,2012,Dizel,Hatchback,117
Audi,A3,2012,Dizel,SUV,114
Audi,A3,2012,Dizel,Ticari,114
Audi,A3,2012,Dizel,Coupe,118
Audi,A3,2012,LPG,Sedan,130
Audi,A3,2012,LPG,Hatchback,134
Audi,A3,2012,LPG,SUV,126
Audi,A3,2012,LPG,Ticari,131
Audi,A3,2012,LPG,Coupe,127
Audi,A3,2012,Hibrit,Sedan,76
Audi,A3,2012,Hibrit,Hatchback,68
Audi,A3,2012,Hibrit,SUV,84
Audi,A3,2012,Hibrit,Ticari,67
Audi,A3,2012,Hibrit,Coupe,86
Audi,A3,2012,Elektrik,Sedan,0
Audi,A3,2012,Elektrik,Hatchback,0
Audi,A3,2012,Elektrik,SUV,0
Audi,A3,2012,Elektrik,Ticari,0
Audi,A3,2012,Elektrik,Coupe,0
Audi,A3,2013,Benzin,Sedan,152
Audi,A3,2013,Benzin,Hatchback,134
Audi,A3,2013,Benzin,SUV,150
Audi,A3,2013,Benzin,Ticari,134
Audi,A3,2013,Benzin,Coupe,133
Audi,A3,2013,Dizel,Sedan,125
Audi,A3,2013,Dizel,Hatchback,112
Audi,A3,2013,Dizel,SUV,112
Audi,A3,2013,Dizel,Ticari,123
Audi,A3,2013,Dizel,Coupe,118
Audi,A3,2013,LPG,Sedan,124
Audi,A3,2013,LPG,Hatchback,124
Audi,A3,2013,LPG,SUV,125
Audi,A3,2013,LPG,Ticari,127
Audi,A3,2013,LPG,Coupe,132
Audi,A3,2013,Hibrit,Sedan,79
Audi,A3,2013,Hibrit,Hatchback,85
Audi,A3,2013,Hibrit,SUV,68
Audi,A3,2013,Hibrit,Ticari,74
Audi,A3,2013,Hibrit,Coupe,84
Audi,A3,2013,Elektrik,Sedan,0
Audi,A3,2013,Elektrik,Hatchback,0
Audi,A3,2013,Elektrik,SUV,0
Audi,A3,2013,Elektrik,Ticari,0
Audi,A3,2013,Elektrik,Coupe,0
Audi,A3,2014,Benzin,Sedan,138
Audi,A3,2014,Benzin,Hatchback,142
Audi,A3,2014,Benzin,SUV,138
Audi,A3,2014,Benzin,Ticari,150
Audi,A3,2014,Benzin,Coupe,135
Audi,A3,2014,Dizel,Sedan,112
Audi,A3,2014,Dizel,Hatchback,121
Audi,A3,2014,Dizel,SUV,120
Audi,A3,2014,Dizel,Ticari,110
Audi,A3,2014,Dizel,Coupe,111
Audi,A3,2014,LPG,Sedan,123
Audi,A3,2014,LPG,Hatchback,128
Audi,A3,2014,LPG,SUV,123
Audi,A3,2014,LPG,Ticari,122
Audi,A3,2014,LPG,Coupe,128
Audi,A3,2014,Hibrit,Sedan,89
Audi,A3,2014,Hibrit,Hatchback,75
Audi,A3,2014,Hibrit,SUV,82
Audi,A3,2014,Hibrit,Ticari,78
Audi,A3,2014,Hibrit,Coupe,80
Audi,A3,2014,Elektrik,Sedan,0
Audi,A3,2014,Elektrik,Hatchback,0
Audi,A3,2014,Elektrik,SUV,0
Audi,A3,2014,Elektrik,Ticari,0
Audi,A3,2014,Elektrik,Coupe,0
Audi,A3,2015,Benzin,Sedan,146
Audi,A3,2015,Benzin,Hatchback,153
Audi,A3,2015,Benzin,SUV,154
Audi,A3,2015,Benzin,Ticari,147
Audi,A3,2015,Benzin,Coupe,144
Audi,A3,2015,Dizel,Sedan,114
Audi,A3,2015,Dizel,Hatchback,130
Audi,A3,2015,Dizel,SUV,128
Audi,A3,2015,Dizel,Ticari,130
Audi,A3,2015,Dizel,Coupe,128
Audi,A3,2015,LPG,Sedan,141
Audi,A3,2015,LPG,Hatchback,131
Audi,A3,2015,LPG,SUV,122
Audi,A3,2015,LPG,Ticari,139
Audi,A3,2015,LPG,Coupe,135
Audi,A3,2015,Hibrit,Sedan,82
Audi,A3,2015,Hibrit,Hatchback,79
Audi,A3,2015,Hibrit,SUV,88
Audi,A3,2015,Hibrit,Ticari,81
Audi,A3,2015,Hibrit,Coupe,90
Audi,A3,2015,Elektrik,Sedan,0
Audi,A3,2015,Elektrik,Hatchback,0
Audi,A3,2015,Elektrik,SUV,0
Audi,A3,2015,Elektrik,Ticari,0
Audi,A3,2015,Elektrik,Coupe,0
Audi,A3,2016,Benzin,Sedan,146
Audi,A3,2016,Benzin,Hatchback,138
Audi,A3,2016,Benzin,SUV,152
Audi,A3,2016,Benzin,Ticari,141
Audi,A3,2016,Benzin,Coupe,150
Audi,A3,2016,Dizel,Sedan,125
Audi,A3,2016,Dizel,Hatchback,122
Audi,A3,2016,Dizel,SUV,123
Audi,A3,2016,Dizel,Ticari,131
Audi,A3,2016,Dizel,Coupe,132
Audi,A3,2016,LPG,Sedan,129
Audi,A3,2016,LPG,Hatchback,131
Audi,A3,2016,LPG,SUV,131
Audi,A3,2016,LPG,Ticari,135
Audi,A3,2016,LPG,Coupe,132
Audi,A3,2016,Hibrit,Sedan,91
Audi,A3,2016,Hibrit,Hatchback,90
Audi,A3,2016,Hibrit,SUV,91
Audi,A3,2016,Hibrit,Ticari,76
Audi,A3,2016,Hibrit,Coupe,74
Audi,A3,2016,Elektrik,Sedan,0
Audi,A3,2016,Elektrik,Hatchback,0
Audi,A3,2016,Elektrik,SUV,0
Audi,A3,2016,Elektrik,Ticari,0
Audi,A3,2016,Elektrik,Coupe,0
Audi,A3,2017,Benzin,Sedan,157
Audi,A3,2017,Benzin,Hatchback,146
Audi,A3,2017,Benzin,SUV,150
Audi,A3,2017,Benzin,Ticari,148
Audi,A3,2017,Benzin,Coupe,147
Audi,A3,2017,Dizel,Sedan,128
Audi,A3,2017,Dizel,Hatchback,123
Audi,A3,2017,Dizel,SUV,123
Audi,A3,2017,Dizel,Ticari,123
Audi,A3,2017,Dizel,Coupe,118
Audi,A3,2017,LPG,Sedan,140
Audi,A3,2017,LPG,Hatchback,139
Audi,A3,2017,LPG,SUV,131
Audi,A3,2017,LPG,Ticari,142
Audi,A3,2017,LPG,Coupe,144
Audi,A3,2017,Hibrit,Sedan,81
Audi,A3,2017,Hibrit,Hatchback,86
Audi,A3,2017,Hibrit,SUV,80
Audi,A3,2017,Hibrit,Ticari,78
Audi,A3,2017,Hibrit,Coupe,81
Audi,A3,2017,Elektrik,Sedan,0
Audi,A3,2017,Elektrik,Hatchback,0
Audi,A3,2017,Elektrik,SUV,0
Audi,A3,2017,Elektrik,Ticari,0
Audi,A3,2017,Elektrik,Coupe,0
Audi,A3,2018,Benzin,Sedan,150
Audi,A3,2018,Benzin,Hatchback,148
Audi,A3,2018,Benzin,SUV,154
Audi,A3,2018,Benzin,Ticari,145
Audi,A3,2018,Benzin,Coupe,143
Audi,A3,2018,Dizel,Sedan,133
Audi,A3,2018,Dizel,Hatchback,126
Audi,A3,2018,Dizel,SUV,124
Audi,A3,2018,Dizel,Ticari,133
Audi,A3,2018,Dizel,Coupe,125
Audi,A3,2018,LPG,Sedan,137
Audi,A3,2018,LPG,Hatchback,130
Audi,A3,2018,LPG,SUV,126
Audi,A3,2018,LPG,Ticari,127
Audi,A3,2018,LPG,Coupe,143
Audi,A3,2018,Hibrit,Sedan,76
Audi,A3,2018,Hibrit,Hatchback,82
Audi,A3,2018,Hibrit,SUV,81
Audi,A3,2018,Hibrit,Ticari,86
Audi,A3,2018,Hibrit,Coupe,87
Audi,A3,2018,Elektrik,Sedan,0
Audi,A3,2018,Elektrik,Hatchback,0
Audi,A3,2018,Elektrik,SUV,0
Audi,A3,2018,Elektrik,Ticari,0
Audi,A3,2018,Elektrik,Coupe,0
Audi,A3,2019,Benzin,Sedan,158
Audi,A3,2019,Benzin,Hatchback,146
Audi,A3,2019,Benzin,SUV,158
Audi,A3,2019,Benzin,Ticari,156
Audi,A3,2019,Benzin,Coupe,157
Audi,A3,2019,Dizel,Sedan,120
Audi,A3,2019,Dizel,Hatchback,126
Audi,A3,2019,Dizel,SUV,129
Audi,A3,2019,Dizel,Ticari,123
Audi,A3,2019,Dizel,Coupe,117
Audi,A3,2019,LPG,Sedan,138
Audi,A3,2019,LPG,Hatchback,146
Audi,A3,2019,LPG,SUV,128
Audi,A3,2019,LPG,Ticari,131
Audi,A3,2019,LPG,Coupe,137
Audi,A3,2019,Hibrit,Sedan,91
Audi,A3,2019,Hibrit,Hatchback,77
Audi,A3,2019,Hibrit,SUV,96
Audi,A3,2019,Hibrit,Ticari,87
Audi,A3,2019,Hibrit,Coupe,86
Audi,A3,2019,Elektrik,Sedan,0
Audi,A3,2019,Elektrik,Hatchback,0
Audi,A3,2019,Elektrik,SUV,0
Audi,A3,2019,Elektrik,Ticari,0
Audi,A3,2019,Elektrik,Coupe,1
Audi,A3,2020,Benzin,Sedan,159
Audi,A3,2020,Benzin,Hatchback,157
Audi,A3,2020,Benzin,SUV,163
Audi,A3,2020,Benzin,Ticari,148
Audi,A3,2020,Benzin,Coupe,156
Audi,A3,2020,Dizel,Sedan,129
Audi,A3,2020,Dizel,Hatchback,132
Audi,A3,2020,Dizel,SUV,120
Audi,A3,2020,Dizel,Ticari,119
Audi,A3,2020,Dizel,Coupe,126
Audi,A3,2020,LPG,Sedan,143
Audi,A3,2020,LPG,Hatchback,138
Audi,A3,2020,LPG,SUV,134
Audi,A3,2020,LPG,Ticari,129
Audi,A3,2020,LPG,Coupe,134
Audi,A3,2020,Hibrit,Sedan,97
Audi,A3,2020,Hibrit,Hatchback,83
Audi,A3,2020,Hibrit,SUV,94
Audi,A3,2020,Hibrit,Ticari,91
Audi,A3,2020,Hibrit,Coupe,89
Audi,A3,2020,Elektrik,Sedan,0
Audi,A3,2020,Elektrik,Hatchback,0
Audi,A3,2020,Elektrik,SUV,0
Audi,A3,2020,Elektrik,Ticari,0
Audi,A3,2020,Elektrik,Coupe,0
Audi,A3,2021,Benzin,Sedan,157
Audi,A3,2021,Benzin,Hatchback,159
Audi,A3,2021,Benzin,SUV,147
Audi,A3,2021,Benzin,Ticari,146
Audi,A3,2021,Benzin,Coupe,159
Audi,A3,2021,Dizel,Sedan,123
Audi,A3,2021,Dizel,Hatchback,127
Audi,A3,2021,Dizel,SUV,133
Audi,A3,2021,Dizel,Ticari,138
Audi,A3,2021,Dizel,Coupe,134
Audi,A3,2021,LPG,Sedan,148
Audi,A3,2021,LPG,Hatchback,132
Audi,A3,2021,LPG,SUV,142
Audi,A3,2021,LPG,Ticari,143
Audi,A3,2021,LPG,Coupe,145
Audi,A3,2021,Hibrit,Sedan,99
Audi,A3,2021,Hibrit,Hatchback,99
Audi,A3,2021,Hibrit,SUV,99
Audi,A3,2021,Hibrit,Ticari,92
Audi,A3,2021,Hibrit,Coupe,87
Audi,A3,2021,Elektrik,Sedan,0
Audi,A3,2021,Elektrik,Hatchback,3
Audi,A3,2021,Elektrik,SUV,4
Audi,A3,2021,Elektrik,Ticari,0
Audi,A3,2021,Elektrik,Coupe,0
Audi,A3,2022,Benzin,Sedan,150
Audi,A3,2022,Benzin,Hatchback,166
Audi,A3,2022,Benzin,SUV,164
Audi,A3,2022,Benzin,Ticari,163
Audi,A3,2022,Benzin,Coupe,161
Audi,A3,2022,Dizel,Sedan,137
Audi,A3,2022,Dizel,Hatchback,135
Audi,A3,2022,Dizel,SUV,126
Audi,A3,2022,Dizel,Ticari,132
Audi,A3,2022,Dizel,Coupe,132
Audi,A3,2022,LPG,Sedan,151
Audi,A3,2022,LPG,Hatchback,151
Audi,A3,2022,LPG,SUV,134
Audi,A3,2022,LPG,Ticari,133
Audi,A3,2022,LPG,Coupe,151
Audi,A3,2022,Hibrit,Sedan,89
Audi,A3,2022,Hibrit,Hatchback,83
Audi,A3,2022,Hibrit,SUV,88
Audi,A3,2022,Hibrit,Ticari,86
Audi,A3,2022,Hibrit,Coupe,91
Audi,A3,2022,Elektrik,Sedan,0
Audi,A3,2022,Elektrik,Hatchback,4
Audi,A3,2022,Elektrik,SUV,0
Audi,A3,2022,Elektrik,Ticari,3
Audi,A3,2022,Elektrik,Coupe,0
Audi,A3,2023,Benzin,Sedan,158
Audi,A3,2023,Benzin,Hatchback,154
Audi,A3,2023,Benzin,SUV,157
Audi,A3,2023,Benzin,Ticari,165
Audi,A3,2023,Benzin,Coupe,161
Audi,A3,2023,Dizel,Sedan,139
Audi,A3,2023,Dizel,Hatchback,140
Audi,A3,2023,Dizel,SUV,138
Audi,A3,2023,Dizel,Ticari,141
Audi,A3,2023,Dizel,Coupe,134
Audi,A3,2023,LPG,Sedan,152
Audi,A3,2023,LPG,Hatchback,143
Audi,A3,2023,LPG,SUV,149
Audi,A3,2023,LPG,Ticari,151
Audi,A3,2023,LPG,Coupe,135
Audi,A3,2023,Hibrit,Sedan,85
Audi,A3,2023,Hibrit,Hatchback,88
Audi,A3,2023,Hibrit,SUV,87
Audi,A3,2023,Hibrit,Ticari,88
Audi,A3,2023,Hibrit,Coupe,86
Audi,A3,2023,Elektrik,Sedan,4
Audi,A3,2023,Elektrik,Hatchback,0
Audi,A3,2023,Elektrik,SUV,0
Audi,A3,2023,Elektrik,Ticari,0
Audi,A3,2023,Elektrik,Coupe,0
Audi,A3,2024,Benzin,Sedan,169
Audi,A3,2024,Benzin,Hatchback,155
Audi,A3,2024,Benzin,SUV,162
Audi,A3,2024,Benzin,Ticari,159
Audi,A3,2024,Benzin,Coupe,161
Audi,A3,2024,Dizel,Sedan,125
Audi,A3,2024,Dizel,Hatchback,127
Audi,A3,2024,Dizel,SUV,135
Audi,A3,2024,Dizel,Ticari,131
Audi,A3,2024,Dizel,Coupe,143
Audi,A3,2024,LPG,Sedan,147
Audi,A3,2024,LPG,Hatchback,142
Audi,A3,2024,LPG,SUV,138
Audi,A3,2024,LPG,Ticari,149
Audi,A3,2024,LPG,Coupe,137
Audi,A3,2024,Hibrit,Sedan,100
Audi,A3,2024,Hibrit,Hatchback,89
Audi,A3,2024,Hibrit,SUV,99
Audi,A3,2024,Hibrit,Ticari,97
Audi,A3,2024,Hibrit,Coupe,100
Audi,A3,2024,Elektrik,Sedan,5
Audi,A3,2024,Elektrik,Hatchback,0
Audi,A3,2024,Elektrik,SUV,0
Audi,A3,2024,Elektrik,Ticari,0
Audi,A3,2024,Elektrik,Coupe,4
Audi,A4,2005,Benzin,Sedan,140
Audi,A4,2005,Benzin,Hatchback,136
Audi,A4,2005,Benzin,SUV,138
Audi,A4,2005,Benzin,Ticari,134
Audi,A4,2005,Benzin,Coupe,125
Audi,A4,2005,Dizel,Sedan,99
Audi,A4,2005,Dizel,Hatchback,98
Audi,A4,2005,Dizel,SUV,96
Audi,A4,2005,Dizel,Ticari,102
Audi,A4,2005,Dizel,Coupe,97
Audi,A4,2005,LPG,Sedan,111
Audi,A4,2005,LPG,Hatchback,110
Audi,A4,2005,LPG,SUV,111
Audi,A4,2005,LPG,Ticari,124
Audi,A4,2005,LPG,Coupe,118
Audi,A4,2005,Hibrit,Sedan,64
Audi,A4,2005,Hibrit,Hatchback,75
Audi,A4,2005,Hibrit,SUV,68
Audi,A4,2005,Hibrit,Ticari,65
Audi,A4,2005,Hibrit,Coupe,65
Audi,A4,2005,Elektrik,Sedan,0
Audi,A4,2005,Elektrik,Hatchback,0
Audi,A4,2005,Elektrik,SUV,0
Audi,A4,2005,Elektrik,Ticari,0
Audi,A4,2005,Elektrik,Coupe,0
Audi,A4,2006,Benzin,Sedan,127
Audi,A4,2006,Benzin,Hatchback,133
Audi,A4,2006,Benzin,SUV,141
Audi,A4,2006,Benzin,Ticari,130
Audi,A4,2006,Benzin,Coupe,124
Audi,A4,2006,Dizel,Sedan,111
Audi,A4,2006,Dizel,Hatchback,117
Audi,A4,2006,Dizel,SUV,103
Audi,A4,2006,Dizel,Ticari,102
Audi,A4,2006,Dizel,Coupe,117
Audi,A4,2006,LPG,Sedan,117
Audi,A4,2006,LPG,Hatchback,117
Audi,A4,2006,LPG,SUV,113
Audi,A4,2006,LPG,Ticari,115
Audi,A4,2006,LPG,Coupe,118
Audi,A4,2006,Hibrit,Sedan,73
Audi,A4,2006,Hibrit,Hatchback,74
Audi,A4,2006,Hibrit,SUV,74
Audi,A4,2006,Hibrit,Ticari,69
Audi,A4,2006,Hibrit,Coupe,73
Audi,A4,2006,Elektrik,Sedan,0
Audi,A4,2006,Elektrik,Hatchback,0
Audi,A4,2006,Elektrik,SUV,0
Audi,A4,2006,Elektrik,Ticari,0
Audi,A4,2006,Elektrik,Coupe,0
Audi,A4,2007,Benzin,Sedan,133
Audi,A4,2007,Benzin,Hatchback,130
Audi,A4,2007,Benzin,SUV,126
Audi,A4,2007,Benzin,Ticari,128
Audi,A4,2007,Benzin,Coupe,125
Audi,A4,2007,Dizel,Sedan,108
Audi,A4,2007,Dizel,Hatchback,113
Audi,A4,2007,Dizel,SUV,117
Audi,A4,2007,Dizel,Ticari,105
Audi,A4,2007,Dizel,Coupe,115
Audi,A4,2007,LPG,Sedan,115
Audi,A4,2007,LPG,Hatchback,111
Audi,A4,2007,LPG,SUV,117
Audi,A4,2007,LPG,Ticari,128
Audi,A4,2007,LPG,Coupe,117
Audi,A4,2007,Hibrit,Sedan,77
Audi,A4,2007,Hibrit,Hatchback,70
Audi,A4,2007,Hibrit,SUV,73
Audi,A4,2007,Hibrit,Ticari,61
Audi,A4,2007,Hibrit,Coupe,78
Audi,A4,2007,Elektrik,Sedan,0
Audi,A4,2007,Elektrik,Hatchback,0
Audi,A4,2007,Elektrik,SUV,0
Audi,A4,2007,Elektrik,Ticari,0
Audi,A4,2007,Elektrik,Coupe,0
Audi,A4,2008,Benzin,Sedan,145
Audi,A4,2008,Benzin,Hatchback,130
Audi,A4,2008,Benzin,SUV,141
Audi,A4,2008,Benzin,Ticari,126
Audi,A4,2008,Benzin,Coupe,141
Audi,A4,2008,Dizel,Sedan,116
Audi,A4,2008,Dizel,Hatchback,113
Audi,A4,2008,Dizel,SUV,111
Audi,A4,2008,Dizel,Ticari,117
Audi,A4,2008,Dizel,Coupe,113
Audi,A4,2008,LPG,Sedan,119
Audi,A4,2008,LPG,Hatchback,116
Audi,A4,2008,LPG,SUV,116
Audi,A4,2008,LPG,Ticari,117
Audi,A4,2008,LPG,Coupe,119
Audi,A4,2008,Hibrit,Sedan,62
Audi,A4,2008,Hibrit,Hatchback,67
Audi,A4,2008,Hibrit,SUV,80
Audi,A4,2008,Hibrit,Ticari,63
Audi,A4,2008,Hibrit,Coupe,71
Audi,A4,2008,Elektrik,Sedan,0
Audi,A4,2008,Elektrik,Hatchback,0
Audi,A4,2008,Elektrik,SUV,0
Audi,A4,2008,Elektrik,Ticari,0
Audi,A4,2008,Elektrik,Coupe,0
Audi,A4,2009,Benzin,Sedan,144
Audi,A4,2009,Benzin,Hatchback,131
Audi,A4,2009,Benzin,SUV,137
Audi,A4,2009,Benzin,Ticari,136
Audi,A4,2009,Benzin,Coupe,139
Audi,A4,2009,Dizel,Sedan,104
Audi,A4,2009,Dizel,Hatchback,108
Audi,A4,2009,Dizel,SUV,108
Audi,A4,2009,Dizel,Ticari,117
Audi,A4,2009,Dizel,Coupe,119
Audi,A4,2009,LPG,Sedan,125
Audi,A4,2009,LPG,Hatchback,132
Audi,A4,2009,LPG,SUV,123
Audi,A4,2009,LPG,Ticari,115
Audi,A4,2009,LPG,Coupe,128
Audi,A4,2009,Hibrit,Sedan,78
Audi,A4,2009,Hibrit,Hatchback,71
Audi,A4,2009,Hibrit,SUV,67
Audi,A4,2009,Hibrit,Ticari,76
Audi,A4,2009,Hibrit,Coupe,70
Audi,A4,2009,Elektrik,Sedan,0
Audi,A4,2009,Elektrik,Hatchback,0
Audi,A4,2009,Elektrik,SUV,0
Audi,A4,2009,Elektrik,Ticari,0
Audi,A4,2009,Elektrik,Coupe,0
Audi,A4,2010,Benzin,Sedan,143
Audi,A4,2010,Benzin,Hatchback,146
